Predio;I.D. Faena;N° Orden;Cultivo;Variedad;Fecha;E. Fenologico;Codigo Producto;Nombre Producto;Ing Activo;N° Autorización SAG;Tratamiento;Cantidad;U. Med.;Moja. Lts x Ha;Tipo Dosis;Dosis;Ha. Aplica;T.Cantidad Ha. Aplica;R.Aplica Calculado;Real Aplicado;Cobertura;N° Aplica Periodo.;Nº aplica etiqueta;Clasifica;Cod Cuartel;Cuartel / Potrero;Total Ha.;Fecha Inicio Aplica;Hr. Inicio;Fecha Term. Aplica;Hr. Término;Hr. Reingre;Carencia;Dias Carencias PPPL;Plazo Seguridad;Concentración;Adjunto Productos;Estado;Faena;Labor;Clima;Viento;Temp.;Responsable (Aplicaciones);Dosificador (Aplicaciones);Verificador Técnico (Aplicaciones);Aplicador;Aplicador 2;Observaciones;Usuario Login;Total Producto;Maquinarias;Total Maqui;Maq Cod/GPS;Tot.Maq c/GPS;Tot Orden Aplica;Cantidad Periodo;tipo;has totales;n;p;k;usd
Camino Truncado, Puente Alto y La Chimbera;55.731;;Uva;Flame;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;479,204;Litros;0;Hectareas;108,91;4,4;479,2;0;0;;1;0;La Chimbera;18;18;4,4;28/2/2025;23:00:00;1/3/2025;18:00:00;0;0;0;2/3/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 5,70;;0;;0;1;479,204;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.732;;Uva;Arizul;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;304,948;Litros;0;Hectareas;108,91;2,8;304,94;0;0;;1;0;La Chimbera;24;24;2,8;28/2/2025;23:00:00;1/3/2025;18:00:00;0;0;0;2/3/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 3,60;;0;;0;1;304,948;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.733;;Uva;Arizul;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;315,839;Litros;0;Hectareas;108,91;2,9;315,83;0;0;;1;0;La Chimbera;27;27;2,9;28/2/2025;23:00:00;1/3/2025;18:00:00;0;0;0;2/3/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 3,70;;0;;0;1;315,839;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.734;;Uva;Fiesta;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;179,564;Litros;0;Hectareas;40,81;4,4;179,56;0;0;;2;0;La Chimbera;20;20;4,4;1/3/2025;23:00:00;2/3/2025;18:00:00;0;0;0;3/3/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 2,10;;0;;0;2;673,464;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.735;;Uva;Fiesta;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;106,106;Litros;0;Hectareas;40,81;2,6;106,1;0;0;;2;0;La Chimbera;22;22;2,6;1/3/2025;23:00:00;2/3/2025;18:00:00;0;0;0;3/3/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 1,20;;0;;0;2;397,956;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.736;;Uva;Fiesta;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;114,268;Litros;0;Hectareas;40,81;2,8;114,26;0;0;;2;0;La Chimbera;23;23;2,8;1/3/2025;23:00:00;2/3/2025;18:00:00;0;0;0;3/3/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 1,30;;0;;0;2;428,568;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.737;;Uva;Flame;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;135,753;Litros;0;Hectareas;36,69;3,7;135,75;0;0;;2;0;La Chimbera;15;15;3,7;2/3/2025;23:00:00;3/3/2025;18:00:00;0;0;0;4/3/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 1,60;;0;;0;2;509,12;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.738;;Uva;Flame;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;80,718;Litros;0;Hectareas;36,69;2,2;80,71;0;0;;2;0;La Chimbera;17;17;2,2;2/3/2025;23:00:00;3/3/2025;18:00:00;0;0;0;4/3/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 0,90;;0;;0;2;302,72;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.739;;Uva;Flame;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;80,718;Litros;0;Hectareas;36,69;2,2;80,71;0;0;;2;0;La Chimbera;19;19;2,2;2/3/2025;23:00:00;3/3/2025;18:00:00;0;0;0;4/3/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 0,90;;0;;0;2;302,72;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.740;;Uva;Arizul;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;101,808;Litros;0;Hectareas;36,36;2,8;101,8;0;0;;2;0;La Chimbera;25;25;2,8;2/3/2025;23:00:00;3/3/2025;18:00:00;0;0;0;4/3/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 1,20;;0;;0;2;384,356;Real;;;;;
