Predio;I.D. Faena;N° Orden;Cultivo;Variedad;Fecha;E. Fenologico;Codigo Producto;Nombre Producto;Ing Activo;N° Autorización SAG;Tratamiento;Cantidad;U. Med.;Moja. Lts x Ha;Tipo Dosis;Dosis;Ha. Aplica;T.Cantidad Ha. Aplica;R.Aplica Calculado;Real Aplicado;Cobertura;N° Aplica Periodo.;Nº aplica etiqueta;Clasifica;Cod Cuartel;Cuartel / Potrero;Total Ha.;Fecha Inicio Aplica;Hr. Inicio;Fecha Term. Aplica;Hr. Término;Hr. Reingre;Carencia;Dias Carencias PPPL;Plazo Seguridad;Concentración;Adjunto Productos;Estado;Faena;Labor;Clima;Viento;Temp.;Responsable (Aplicaciones);Dosificador (Aplicaciones);Verificador Técnico (Aplicaciones);Aplicador;Aplicador 2;Observaciones;Usuario Login;Total Producto;Maquinarias;Total Maqui;Maq Cod/GPS;Tot.Maq c/GPS;Tot Orden Aplica;Cantidad Periodo;tipo;has totales;unidades n;unidades p;unidades k;monto en usd
El espejo;73.398;1152;Uva;Flame;18/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;136,25;Litros;0;Hectareas;0;5,54;0;0;0;Total;34;0;EEII;EEII 1;12;5,54;18/12/2025;;18/12/2025;;0;0;0;19/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 162,00;;0;;0;34;7.731,50;Real;;;;;
El espejo;73.399;1152;Uva;Flame;18/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;136,25;Litros;0;Hectareas;0;5,54;0;0;0;Total;34;0;EEII;EEII 1;9;5,54;18/12/2025;;18/12/2025;;0;0;0;19/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 162,00;;0;;0;34;7.731,50;Real;;;;;
El espejo;73.426;1159;Uva;Fiesta;18/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;48,323;Litros;0;Hectareas;0;2,12;0;0;0;Total;34;0;EEII;EEII 2;18;2,12;18/12/2025;;18/12/2025;;0;0;0;19/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 58,00;;0;;0;34;2.454,00;Real;;;;;
El espejo;73.427;1159;Uva;Fiesta;18/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;106,677;Litros;0;Hectareas;0;4,68;0;0;0;Total;34;0;EEII;EEII 2;20;4,68;18/12/2025;;18/12/2025;;0;0;0;19/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 127,60;;0;;0;34;5.417,42;Real;;;;;
El espejo;73.689;1192;Uva;Flame;18/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;49,078;Litros;0;Hectareas;0;3,64;0;0;0;Total;36;0;EEIII;EEIII 3 A;24;3,64;18/12/2025;;18/12/2025;;0;0;0;19/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 58,00;;0;;0;36;3.024,16;Real;;;;;
El espejo;73.690;1192;Uva;Flame;18/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;26,966;Litros;0;Hectareas;0;2;0;0;0;Total;36;0;EEIII;EEIII 3 A;25;2;18/12/2025;;18/12/2025;;0;0;0;19/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 32,00;;0;;0;36;1.661,62;Real;;;;;
El espejo;73.691;1192;Uva;Flame;18/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;30,337;Litros;0;Hectareas;0;2,25;0;0;0;Total;36;0;EEIII;EEIII 3 A;29;2,25;18/12/2025;;18/12/2025;;0;0;0;19/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 36,00;;0;;0;36;1.869,33;Real;;;;;
El espejo;73.692;1192;Uva;Flame;18/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;61,217;Litros;0;Hectareas;0;4,54;0;0;0;Total;36;0;EEIII;EEIII 3 B;32;4,54;18/12/2025;;18/12/2025;;0;0;0;19/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 73,80;;0;;0;36;3.772,05;Real;;;;;
El espejo;73.693;1192;Uva;Flame;18/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;58,247;Litros;0;Hectareas;0;4,32;0;0;0;Total;36;0;EEIII;EEIII 3 B;35;4,32;18/12/2025;;18/12/2025;;0;0;0;19/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 69,00;;0;;0;36;3.589,13;Real;;;;;
El espejo;73.694;1192;Uva;Flame;18/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;54,741;Litros;0;Hectareas;0;4,06;0;0;0;Total;36;0;EEIII;EEIII 3 B;38;4,06;18/12/2025;;18/12/2025;;0;0;0;19/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 65,00;;0;;0;36;3.373,10;Real;;;;;
El espejo;73.695;1192;Uva;Flame;18/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;52,044;Litros;0;Hectareas;0;3,86;0;0;0;Total;36;0;EEIII;EEIII 4;41;3,86;18/12/2025;;18/12/2025;;0;0;0;19/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 62,00;;0;;0;36;3.206,93;Real;;;;;
El espejo;73.696;1192;Uva;Flame;18/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;49,213;Litros;0;Hectareas;0;3,65;0;0;0;Total;36;0;EEIII;EEIII 4;44;3,65;18/12/2025;;18/12/2025;;0;0;0;19/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 59,00;;0;;0;36;3.032,47;Real;;;;;
El espejo;73.697;1192;Uva;Flame;18/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;38,157;Litros;0;Hectareas;0;2,83;0;0;0;Total;36;0;EEIII;EEIII 4;47;2,83;18/12/2025;;18/12/2025;;0;0;0;19/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 45,00;;0;;0;36;2.351,21;Real;;;;;
El espejo;73.456;1165;Uva;Fiesta;18/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;36,18;Litros;0;Hectareas;0;2,28;0;0;0;Total;38;0;EEII;EEII 2;14;2,28;18/12/2025;;18/12/2025;;0;0;0;19/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 43,00;;0;;0;38;2.502,28;Real;;;;;
El espejo;73.457;1165;Uva;Fiesta;18/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;54,587;Litros;0;Hectareas;0;3,44;0;0;0;Total;36;0;EEII;EEII 2;15;3,44;18/12/2025;;18/12/2025;;0;0;0;19/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 65,00;;0;;0;36;3.320,75;Real;;;;;
El espejo;73.458;1165;Uva;Fiesta;18/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;56,967;Litros;0;Hectareas;0;3,59;0;0;0;Total;36;0;EEII;EEII 2;19;3,59;18/12/2025;;18/12/2025;;0;0;0;19/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 68,00;;0;;0;36;3.466,69;Real;;;;;
El espejo;73.459;1165;Uva;Fiesta;18/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;50,62;Litros;0;Hectareas;0;3,19;0;0;0;Total;36;0;EEII;EEII 2;21;3,19;18/12/2025;;18/12/2025;;0;0;0;19/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 60,00;;0;;0;36;3.081,17;Real;;;;;
El espejo;73.460;1165;Uva;Selma;18/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;87,911;Litros;0;Hectareas;0;5,54;0;0;0;Total;34;0;EEII;EEII 1;5;5,54;18/12/2025;;18/12/2025;;0;0;0;19/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 105,00;;0;;0;34;4.695,54;Real;;;;;
El espejo;73.461;1165;Uva;Selma;18/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;87,911;Litros;0;Hectareas;0;5,54;0;0;0;Total;34;0;EEII;EEII 1;6;5,54;18/12/2025;;18/12/2025;;0;0;0;19/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 105,00;;0;;0;34;4.695,57;Real;;;;;
El espejo;73.462;1165;Uva;Selma;18/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;87,911;Litros;0;Hectareas;0;5,54;0;0;0;Total;34;0;EEII;EEII 1;7;5,54;18/12/2025;;18/12/2025;;0;0;0;19/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 105,00;;0;;0;34;4.695,57;Real;;;;;
El espejo;73.463;1165;Uva;Selma;18/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;87,913;Litros;0;Hectareas;0;5,54;0;0;0;Total;34;0;EEII;EEII 1;8;5,54;18/12/2025;;18/12/2025;;0;0;0;19/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 106,50;;0;;0;34;4.695,54;Real;;;;;
El espejo;73.498;1171;Uva;Selma;17/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;93,574;Litros;0;Hectareas;0;5,54;0;0;0;Total;36;0;EEII;EEII 1;1;5,54;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 111,00;;0;;0;36;5.747,16;Real;;;;;
El espejo;73.499;1171;Uva;Fiesta;17/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;82,764;Litros;0;Hectareas;0;4,9;0;0;0;Total;35;0;EEII;EEII 2;16;4,9;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 98,00;;0;;0;35;4.812,27;Real;;;;;
El espejo;73.500;1171;Uva;Fiesta;17/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;57,935;Litros;0;Hectareas;0;3,43;0;0;0;Total;35;0;EEII;EEII 2;17;3,43;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 69,00;;0;;0;35;3.367,59;Real;;;;;
El espejo;73.501;1171;Uva;Selma;17/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;93,574;Litros;0;Hectareas;0;5,54;0;0;0;Total;36;0;EEII;EEII 1;2;5,54;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 111,00;;0;;0;36;5.747,14;Real;;;;;
El espejo;73.502;1171;Uva;Selma;17/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;93,579;Litros;0;Hectareas;0;5,54;0;0;0;Total;36;0;EEII;EEII 1;3;5,54;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 112,80;;0;;0;36;5.747,17;Real;;;;;
El espejo;73.503;1171;Uva;Selma;17/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;93,574;Litros;0;Hectareas;0;5,54;0;0;0;Total;36;0;EEII;EEII 1;4;5,54;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 111,00;;0;;0;36;5.747,14;Real;;;;;
El espejo;74.299;74299;Uva;Flame;17/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;68;Litros;0;Hectareas;0;1,57;0;0;0;Total;25;0;EEI;EEI 1;1;3,13;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 80,90;;0;;0;49;4.764,00;Real;;;;;
El espejo;74.300;74300;Uva;Flame;17/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;61;Litros;0;Hectareas;0;1,42;0;0;0;Total;25;0;EEI;EEI 1;2;2,85;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 72,50;;0;;0;49;4.338,00;Real;;;;;
El espejo;74.301;74301;Uva;Flame;17/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;101;Litros;0;Hectareas;0;2,35;0;0;0;Total;23;0;EEI;EEI 1;4;6,31;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 120,10;;0;;0;47;9.026,00;Real;;;;;
El espejo;74.302;74302;Uva;Flame;17/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;290;Litros;0;Hectareas;0;6,73;0;0;0;Total;25;0;EEI;EEI 1;9;6,73;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 345,10;;0;;0;25;10.612,00;Real;;;;;
El espejo;73.561;1178;Uva;Fiesta;17/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;49,527;Litros;0;Hectareas;0;3,64;0;0;0;Total;35;0;EEIII;EEIII 3 A;22;3,64;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 59,00;;0;;0;35;2.934,32;Real;;;;;
El espejo;73.562;1178;Uva;Fiesta;17/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;38,097;Litros;0;Hectareas;0;2,8;0;0;0;Total;35;0;EEIII;EEIII 3 A;26;2,8;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 45,00;;0;;0;35;2.257,08;Real;;;;;
El espejo;73.563;1178;Uva;Fiesta;17/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;38,778;Litros;0;Hectareas;0;2,85;0;0;0;Total;35;0;EEIII;EEIII 3 A;27;2,85;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 46,00;;0;;0;35;2.297,02;Real;;;;;
El espejo;73.564;1178;Uva;Fiesta;17/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;58,779;Litros;0;Hectareas;0;4,32;0;0;0;Total;35;0;EEIII;EEIII 3 B;30;4,32;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 70,00;;0;;0;35;3.482,25;Real;;;;;
El espejo;73.565;1178;Uva;Fiesta;17/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;57,963;Litros;0;Hectareas;0;4,26;0;0;0;Total;35;0;EEIII;EEIII 3 B;33;4,26;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 69,00;;0;;0;35;3.433,65;Real;;;;;
El espejo;73.566;1178;Uva;Fiesta;17/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;58,783;Litros;0;Hectareas;0;4,32;0;0;0;Total;35;0;EEIII;EEIII 3 B;36;4,32;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 71,20;;0;;0;35;3.482,25;Real;;;;;
El espejo;73.567;1178;Uva;Selma;17/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;57,555;Litros;0;Hectareas;0;4,23;0;0;0;Total;35;0;EEIII;EEIII 4;39;4,23;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 68,00;;0;;0;35;3.409,89;Real;;;;;
El espejo;73.568;1178;Uva;Selma;17/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;57,555;Litros;0;Hectareas;0;4,23;0;0;0;Total;35;0;EEIII;EEIII 4;42;4,23;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 68,00;;0;;0;35;3.409,89;Real;;;;;
El espejo;73.569;1178;Uva;Selma;17/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;57,963;Litros;0;Hectareas;0;4,26;0;0;0;Total;35;0;EEIII;EEIII 4;45;4,26;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 69,00;;0;;0;35;3.433,65;Real;;;;;
El espejo;74.353;74353;Uva;Flame;17/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;90;Litros;0;Hectareas;0;3;0;0;0;Total;24;0;EEI;EEI 2;3;6,31;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 107,10;;0;;0;46;6.315,00;Real;;;;;
El espejo;74.354;74354;Uva;Flame;17/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;136;Litros;0;Hectareas;0;4,58;0;0;0;Total;23;0;EEI;EEI 2;5;4,58;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 161,80;;0;;0;24;4.743,00;Real;;;;;
El espejo;74.355;74355;Uva;Flame;17/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;60;Litros;0;Hectareas;0;2,03;0;0;0;Total;24;0;EEI;EEI 2;6;2,03;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 71,40;;0;;0;24;2.099,00;Real;;;;;
El espejo;74.356;74356;Uva;Flame;17/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;40;Litros;0;Hectareas;0;1,35;0;0;0;Total;13;0;EEI;EEI 2;11;4,07;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 47,60;;0;;0;46;2.228,00;Real;;;;;
El espejo;74.357;74357;Uva;Flame;17/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;34;Litros;0;Hectareas;0;1,14;0;0;0;Total;24;0;EEI;EEI 2;12;2,29;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 40,40;;0;;0;46;2.305,00;Real;;;;;
El espejo;74.379;74379;Uva;Flame;17/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;97;Litros;0;Hectareas;0;3,31;0;0;0;Total;25;0;EEI;EEI 2;3;6,31;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 115,40;;0;;0;48;6.509,00;Real;;;;;
El espejo;74.380;74380;Uva;Flame;17/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;48;Litros;0;Hectareas;0;1,64;0;0;0;Total;24;0;EEI;EEI 2;10;1,64;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 57,10;;0;;0;24;1.690,00;Real;;;;;
El espejo;74.381;74381;Uva;Flame;17/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;25;Litros;0;Hectareas;0;0,85;0;0;0;Total;13;0;EEI;EEI 2;11;4,07;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 29,70;;0;;0;48;2.278,00;Real;;;;;
El espejo;74.382;74382;Uva;Flame;17/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;34;Litros;0;Hectareas;0;1,14;0;0;0;Total;25;0;EEI;EEI 2;12;2,29;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 40,40;;0;;0;48;2.373,00;Real;;;;;
El espejo;74.383;74383;Uva;Flame;17/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;61;Litros;0;Hectareas;0;2,05;0;0;0;Total;11;0;EEI;EEI 2;14;5,11;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 72,50;;0;;0;24;2.115,00;Real;;;;;
El espejo;73.392;1151;Uva;Flame;17/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;136,25;Litros;0;Hectareas;0;5,54;0;0;0;Total;33;0;EEII;EEII 1;10;5,54;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 162,00;;0;;0;33;7.595,25;Real;;;;;
El espejo;73.393;1151;Uva;Flame;17/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;136,25;Litros;0;Hectareas;0;5,54;0;0;0;Total;33;0;EEII;EEII 1;11;5,54;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 162,50;;0;;0;33;7.595,25;Real;;;;;
El espejo;73.394;1151;Uva;Flame;17/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;136,25;Litros;0;Hectareas;0;5,54;0;0;0;Total;33;0;EEII;EEII 1;12;5,54;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 162,00;;0;;0;33;7.595,25;Real;;;;;
El espejo;73.395;1151;Uva;Flame;17/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;136,25;Litros;0;Hectareas;0;5,54;0;0;0;Total;33;0;EEII;EEII 1;9;5,54;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 162,00;;0;;0;33;7.595,25;Real;;;;;
El espejo;73.424;1158;Uva;Fiesta;17/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;48,323;Litros;0;Hectareas;0;2,12;0;0;0;Total;33;0;EEII;EEII 2;18;2,12;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 58,00;;0;;0;33;2.405,67;Real;;;;;
El espejo;73.680;1191;Uva;Flame;17/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;49,078;Litros;0;Hectareas;0;3,64;0;0;0;Total;35;0;EEIII;EEIII 3 A;24;3,64;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 58,00;;0;;0;35;2.975,08;Real;;;;;
El espejo;73.425;1158;Uva;Fiesta;17/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;106,677;Litros;0;Hectareas;0;4,68;0;0;0;Total;33;0;EEII;EEII 2;20;4,68;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 127,60;;0;;0;33;5.310,74;Real;;;;;
El espejo;73.681;1191;Uva;Flame;17/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;26,966;Litros;0;Hectareas;0;2;0;0;0;Total;35;0;EEIII;EEIII 3 A;25;2;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 32,00;;0;;0;35;1.634,66;Real;;;;;
El espejo;73.682;1191;Uva;Flame;17/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;30,337;Litros;0;Hectareas;0;2,25;0;0;0;Total;35;0;EEIII;EEIII 3 A;29;2,25;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 36,00;;0;;0;35;1.838,99;Real;;;;;
El espejo;73.683;1191;Uva;Flame;17/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;61,217;Litros;0;Hectareas;0;4,54;0;0;0;Total;35;0;EEIII;EEIII 3 B;32;4,54;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 73,80;;0;;0;35;3.710,84;Real;;;;;
El espejo;73.684;1191;Uva;Flame;17/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;58,247;Litros;0;Hectareas;0;4,32;0;0;0;Total;35;0;EEIII;EEIII 3 B;35;4,32;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 69,00;;0;;0;35;3.530,88;Real;;;;;
El espejo;73.685;1191;Uva;Flame;17/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;54,741;Litros;0;Hectareas;0;4,06;0;0;0;Total;35;0;EEIII;EEIII 3 B;38;4,06;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 65,00;;0;;0;35;3.318,36;Real;;;;;
El espejo;73.686;1191;Uva;Flame;17/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;52,044;Litros;0;Hectareas;0;3,86;0;0;0;Total;35;0;EEIII;EEIII 4;41;3,86;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 62,00;;0;;0;35;3.154,89;Real;;;;;
El espejo;73.687;1191;Uva;Flame;17/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;49,213;Litros;0;Hectareas;0;3,65;0;0;0;Total;35;0;EEIII;EEIII 4;44;3,65;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 59,00;;0;;0;35;2.983,26;Real;;;;;
El espejo;73.688;1191;Uva;Flame;17/12/2025;Envero/Cosecha;p-154;NUTRI 1684 M ;;;;38,157;Litros;0;Hectareas;0;2,83;0;0;0;Total;35;0;EEIII;EEIII 4;47;2,83;17/12/2025;;17/12/2025;;0;0;0;18/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 45,00;;0;;0;35;2.313,05;Real;;;;;
